Block,Region,Intensity_gCO2_kWh
0,asia-east1,318
1,asia-east1,330
2,asia-east1,340
3,asia-east1,340
4,asia-east1,332
5,asia-east1,328
6,asia-east1,334
7,asia-east1,336
8,asia-east1,340
9,asia-east1,340
10,asia-east1,348
11,asia-east1,374
12,asia-east1,410
13,asia-east1,418
14,asia-east1,428
15,asia-east1,426
16,asia-east1,418
17,asia-east1,416
18,asia-east1,412
19,asia-east1,412
20,asia-east1,400
21,asia-east1,392
22,asia-east1,384
23,asia-east1,376
24,asia-east1,366
25,asia-east1,370
26,asia-east1,374
27,asia-east1,356
28,asia-east1,340
29,asia-east1,330
30,asia-east1,332
31,asia-east1,350
32,asia-east1,356
33,asia-east1,358
34,asia-east1,356
35,asia-east1,356
36,asia-east1,350
37,asia-east1,332
38,asia-east1,330
39,asia-east1,338
40,asia-east1,348
41,asia-east1,348
42,asia-east1,332
43,asia-east1,308
44,asia-east1,286
45,asia-east1,268
46,asia-east1,248
47,asia-east1,246
0,asia-northeast1,341.2682927
1,asia-northeast1,354.1463415
2,asia-northeast1,364.8780488
3,asia-northeast1,364.8780488
4,asia-northeast1,356.2926829
5,asia-northeast1,352
6,asia-northeast1,358.4390244
7,asia-northeast1,360.5853659
8,asia-northeast1,364.8780488
9,asia-northeast1,364.8780488
10,asia-northeast1,373.4634146
11,asia-northeast1,401.3658537
12,asia-northeast1,440
13,asia-northeast1,448.5853659
14,asia-northeast1,459.3170732
15,asia-northeast1,457.1707317
16,asia-northeast1,448.5853659
17,asia-northeast1,446.4390244
18,asia-northeast1,442.1463415
19,asia-northeast1,442.1463415
20,asia-northeast1,429.2682927
21,asia-northeast1,420.6829268
22,asia-northeast1,412.097561
23,asia-northeast1,403.5121951
24,asia-northeast1,392.7804878
25,asia-northeast1,397.0731707
26,asia-northeast1,401.3658537
27,asia-northeast1,382.0487805
28,asia-northeast1,364.8780488
29,asia-northeast1,354.1463415
30,asia-northeast1,356.2926829
31,asia-northeast1,375.6097561
32,asia-northeast1,382.0487805
33,asia-northeast1,384.195122
34,asia-northeast1,382.0487805
35,asia-northeast1,382.0487805
36,asia-northeast1,375.6097561
37,asia-northeast1,356.2926829
38,asia-northeast1,354.1463415
39,asia-northeast1,362.7317073
40,asia-northeast1,373.4634146
41,asia-northeast1,373.4634146
42,asia-northeast1,356.2926829
43,asia-northeast1,330.5365854
44,asia-northeast1,306.9268293
45,asia-northeast1,287.6097561
46,asia-northeast1,266.1463415
47,asia-northeast1,264
0,asia-northeast3,267.5853659
1,asia-northeast3,277.6829268
2,asia-northeast3,286.097561
3,asia-northeast3,286.097561
4,asia-northeast3,279.3658537
5,asia-northeast3,276
6,asia-northeast3,281.0487805
7,asia-northeast3,282.7317073
8,asia-northeast3,286.097561
9,asia-northeast3,286.097561
10,asia-northeast3,292.8292683
